dataset,num_components,train_size,test_size,vector_size,g_mean,kappa
GAS-D1.arff,5,20,50,5,0.806926162700539,0.83607226090223
TAGS-D1.arff,5,20,50,5,0.708157181261796,0.458484129318683
ACTIVITY-D1.arff,5,20,50,6,0.845054643153217,0.748043763694159
DJ30-D1.arff,5,20,50,6,0.992743267844995,0.9864565972343
GAS-D1.arff,5,20,50,6,0.801296409018033,0.806996121424524
TAGS-D1.arff,5,20,50,6,0.707405076811905,0.459150025514773
ACTIVITY-D1.arff,5,20,100,2,0.866617149357409,0.752318037193773
DJ30-D1.arff,5,20,100,2,0.992078306261606,0.985515747985879
GAS-D1.arff,5,20,100,2,0.804645974310891,0.78943655263703
TAGS-D1.arff,5,20,100,2,0.714513054571045,0.46189258670103
ACTIVITY-D1.arff,5,20,100,3,0.859907426825941,0.745610714428826
DJ30-D1.arff,5,20,100,3,0.991853260775628,0.984818770142478
GAS-D1.arff,5,20,100,3,0.8064552188241,0.807704990032737
TAGS-D1.arff,5,20,100,3,0.698485212546944,0.450682832407338
